127.0.0.1 - - [13/Sep/2021:20:29:57 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [13/Sep/2021:20:29:58 +0530] "GET /ORSProject4/ HTTP/1.1" 200 527
0:0:0:0:0:0:0:1 - - [13/Sep/2021:20:30:01 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 2276
0:0:0:0:0:0:0:1 - - [13/Sep/2021:20:30:01 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [13/Sep/2021:20:30:01 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [13/Sep/2021:20:30:03 +0530] "GET /ORSProject4/LoginCtl HTTP/1.1" 200 3907
0:0:0:0:0:0:0:1 - - [13/Sep/2021:20:30:03 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [13/Sep/2021:20:30:15 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Sep/2021:20:30:15 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 3797
0:0:0:0:0:0:0:1 - - [13/Sep/2021:20:30:15 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [13/Sep/2021:20:30:18 +0530] "GET /ORSProject4/doc/index.html HTTP/1.1" 200 2998
0:0:0:0:0:0:0:1 - - [13/Sep/2021:20:30:18 +0530] "GET /ORSProject4/doc/allclasses-frame.html HTTP/1.1" 200 11737
0:0:0:0:0:0:0:1 - - [13/Sep/2021:20:30:18 +0530] "GET /ORSProject4/doc/overview-summary.html HTTP/1.1" 200 5015
0:0:0:0:0:0:0:1 - - [13/Sep/2021:20:30:18 +0530] "GET /ORSProject4/doc/overview-frame.html HTTP/1.1" 200 1439
0:0:0:0:0:0:0:1 - - [13/Sep/2021:20:30:18 +0530] "GET /ORSProject4/doc/stylesheet.css HTTP/1.1" 200 13416
0:0:0:0:0:0:0:1 - - [13/Sep/2021:20:30:18 +0530] "GET /ORSProject4/doc/script.js HTTP/1.1" 200 857
0:0:0:0:0:0:0:1 - - [13/Sep/2021:20:30:18 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [13/Sep/2021:20:30:18 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [13/Sep/2021:20:30:18 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [13/Sep/2021:20:30:18 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [13/Sep/2021:20:32:56 +0530] "GET /ORSProject4/doc/in/co/rays/ORSProject4/bean/package-summary.html HTTP/1.1" 200 8392
0:0:0:0:0:0:0:1 - - [13/Sep/2021:20:32:56 +0530] "GET /ORSProject4/doc/stylesheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2021:20:32:56 +0530] "GET /ORSProject4/doc/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2021:20:32:56 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1132
