127.0.0.1 - - [19/Aug/2021:14:21:27 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [19/Aug/2021:14:23:10 +0530] "GET /ORSProject4/ctl/ang/controller/testAssign.js HTTP/1.1" 404 1134
0:0:0:0:0:0:0:1 - - [19/Aug/2021:14:23:10 +0530] "GET /ORSProject4/ctl/ang/controller/testAssignReport.js HTTP/1.1" 404 1140
0:0:0:0:0:0:0:1 - - [19/Aug/2021:14:23:10 +0530] "GET /ORSProject4/ctl/ang/controller/groupData.js HTTP/1.1" 404 1133
0:0:0:0:0:0:0:1 - - [19/Aug/2021:14:23:10 +0530] "GET /ORSProject4/ctl/ang/controller/callingData.js HTTP/1.1" 404 1135
0:0:0:0:0:0:0:1 - - [19/Aug/2021:14:23:10 +0530] "GET /ORSProject4/ctl/ang/controller/groupCallingData.js HTTP/1.1" 404 1140
0:0:0:0:0:0:0:1 - - [19/Aug/2021:14:23:10 +0530] "GET /ORSProject4/ctl/ang/controller/employeeTimesheetView.js HTTP/1.1" 404 1145
0:0:0:0:0:0:0:1 - - [19/Aug/2021:14:23:10 +0530] "GET /ORSProject4/ctl/ang/controller/groupDataAccess.js HTTP/1.1" 404 1139
0:0:0:0:0:0:0:1 - - [19/Aug/2021:14:23:10 +0530] "GET /ORSProject4/ctl/ang/controller/callingDataView.js HTTP/1.1" 404 1139
0:0:0:0:0:0:0:1 - - [19/Aug/2021:14:23:10 +0530] "GET /ORSProject4/ctl/ang/controller/callingDataFollowup.js HTTP/1.1" 404 1143
0:0:0:0:0:0:0:1 - - [19/Aug/2021:14:23:10 +0530] "GET /ORSProject4/ctl/ang/controller/page.js HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [19/Aug/2021:14:23:10 +0530] "GET /ORSProject4/ctl/ang/controller/pageView.js HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [19/Aug/2021:14:23:10 +0530] "GET /ORSProject4/ctl/ang/controller/assetRegister.js HTTP/1.1" 404 1137
0:0:0:0:0:0:0:1 - - [19/Aug/2021:14:23:10 +0530] "GET /ORSProject4/ctl/ang/controller/attendanceSheet.js HTTP/1.1" 404 1139
0:0:0:0:0:0:0:1 - - [19/Aug/2021:14:29:41 +0530] "GET /ORSProject4/ctl/MyProfileCtl HTTP/1.1" 200 6304
0:0:0:0:0:0:0:1 - - [19/Aug/2021:14:29:42 +0530] "GET /ORSProject4/ctl/ChangePasswordCtl HTTP/1.1" 200 4965
0:0:0:0:0:0:0:1 - - [19/Aug/2021:14:29:43 +0530] "GET /ORSProject4/ctl/GetMarksheetCtl HTTP/1.1" 200 3835
0:0:0:0:0:0:0:1 - - [19/Aug/2021:14:29:44 +0530] "GET /ORSProject4/ctl/MarksheetMeritListCtl HTTP/1.1" 200 9250
0:0:0:0:0:0:0:1 - - [19/Aug/2021:14:29:46 +0530] "GET /ORSProject4/ctl/CollegeCtl HTTP/1.1" 200 5311
0:0:0:0:0:0:0:1 - - [19/Aug/2021:14:51:45 +0530] "GET /ORSProject4/ctl/RoleCtl HTTP/1.1" 200 4654
0:0:0:0:0:0:0:1 - - [19/Aug/2021:14:54:21 +0530] "GET /ORSProject4/ctl/GetMarksheetCtl HTTP/1.1" 200 3835
0:0:0:0:0:0:0:1 - - [19/Aug/2021:17:34:08 +0530] "GET /ORSProject4/ctl/TimetableListCtl HTTP/1.1" 200 3411
0:0:0:0:0:0:0:1 - - [19/Aug/2021:17:34:11 +0530] "GET /ORSProject4/ForgetPasswordCtl HTTP/1.1" 200 2568
0:0:0:0:0:0:0:1 - - [19/Aug/2021:17:34:14 +0530] "GET /ORSProject4/LoginCtl HTTP/1.1" 200 3332
0:0:0:0:0:0:0:1 - - [19/Aug/2021:17:34:14 +0530] "GET /ORSProject4/LoginCtl HTTP/1.1" 200 3332
0:0:0:0:0:0:0:1 - - [19/Aug/2021:17:34:16 +0530] "GET /ORSProject4/ForgetPasswordCtl HTTP/1.1" 200 2568
0:0:0:0:0:0:0:1 - - [19/Aug/2021:17:34:31 +0530] "GET /ORSProject4/LoginCtl?operation=Logout HTTP/1.1" 200 3350
0:0:0:0:0:0:0:1 - - [19/Aug/2021:17:34:52 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Aug/2021:17:34:52 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 3222
