127.0.0.1 - - [21/Sep/2021:03:18:25 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [21/Sep/2021:03:18:27 +0530] "GET /ORSProject4/ HTTP/1.1" 200 527
0:0:0:0:0:0:0:1 - - [21/Sep/2021:03:18:30 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 1885
0:0:0:0:0:0:0:1 - - [21/Sep/2021:03:18:30 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [21/Sep/2021:03:18:32 +0530] "GET /ORSProject4/LoginCtl HTTP/1.1" 200 3516
0:0:0:0:0:0:0:1 - - [21/Sep/2021:03:18:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [21/Sep/2021:03:18:49 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 200 3571
0:0:0:0:0:0:0:1 - - [21/Sep/2021:03:18:49 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [21/Sep/2021:03:18:55 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Sep/2021:03:18:55 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 3406
0:0:0:0:0:0:0:1 - - [21/Sep/2021:03:18:55 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [21/Sep/2021:03:20:21 +0530] "GET /ORSProject4/ctl/MyProfileCtl HTTP/1.1" 200 6128
0:0:0:0:0:0:0:1 - - [21/Sep/2021:03:20:21 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [21/Sep/2021:03:20:22 +0530] "GET /ORSProject4/ctl/MyProfileCtl HTTP/1.1" 200 6128
0:0:0:0:0:0:0:1 - - [21/Sep/2021:03:20:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [21/Sep/2021:03:20:30 +0530] "GET /ORSProject4/ctl/ChangePasswordCtl HTTP/1.1" 200 5149
0:0:0:0:0:0:0:1 - - [21/Sep/2021:03:20:30 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [21/Sep/2021:03:20:33 +0530] "GET /ORSProject4/ctl/GetMarksheetCtl HTTP/1.1" 200 4018
