127.0.0.1 - - [24/Aug/2021:16:23:57 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [24/Aug/2021:16:24:04 +0530] "GET /ORSProject4/ HTTP/1.1" 200 549
0:0:0:0:0:0:0:1 - - [24/Aug/2021:16:25:52 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 1701
0:0:0:0:0:0:0:1 - - [24/Aug/2021:16:26:58 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 1701
0:0:0:0:0:0:0:1 - - [24/Aug/2021:16:28:40 +0530] "GET /ORSProject4/LoginCtl HTTP/1.1" 200 3332
0:0:0:0:0:0:0:1 - - [24/Aug/2021:16:28:50 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Aug/2021:16:28:50 +0530] "GET /ORSProject4/UserRegistrationCtl HTTP/1.1" 200 5126
0:0:0:0:0:0:0:1 - - [24/Aug/2021:16:33:31 +0530] "POST /ORSProject4/UserRegistrationCtl HTTP/1.1" 200 5150
0:0:0:0:0:0:0:1 - - [24/Aug/2021:16:40:00 +0530] "GET /ORSProject4/LoginCtl HTTP/1.1" 200 3332
0:0:0:0:0:0:0:1 - - [24/Aug/2021:16:40:03 +0530] "GET /ORSProject4/ForgetPasswordCtl HTTP/1.1" 200 2568
0:0:0:0:0:0:0:1 - - [24/Aug/2021:16:41:14 +0530] "GET /ORSProject4/ForgetPasswordCtl HTTP/1.1" 200 2568
0:0:0:0:0:0:0:1 - - [24/Aug/2021:16:43:24 +0530] "GET /ORSProject4/LoginCtl HTTP/1.1" 200 3332
0:0:0:0:0:0:0:1 - - [24/Aug/2021:16:43:28 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 200 3372
0:0:0:0:0:0:0:1 - - [24/Aug/2021:16:49:11 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 200 3380
0:0:0:0:0:0:0:1 - - [24/Aug/2021:16:52:34 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 200 3386
0:0:0:0:0:0:0:1 - - [24/Aug/2021:16:52:37 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 200 3386
0:0:0:0:0:0:0:1 - - [24/Aug/2021:16:53:07 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Aug/2021:16:53:07 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 3224
0:0:0:0:0:0:0:1 - - [24/Aug/2021:16:55:28 +0530] "GET /ORSProject4/ctl/TimetableListCtl HTTP/1.1" 200 10691
0:0:0:0:0:0:0:1 - - [24/Aug/2021:16:55:28 +0530] "GET /ORSProject4/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Aug/2021:16:55:28 +0530] "GET /ORSProject4/js/CheckBox.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Aug/2021:16:55:28 +0530] "GET /ORSProject4/ctl/ang/service/user.js HTTP/1.1" 404 1125
0:0:0:0:0:0:0:1 - - [24/Aug/2021:16:55:28 +0530] "GET /ORSProject4/ctl/ang/app.js HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [24/Aug/2021:16:55:28 +0530] "GET /ORSProject4/ctl/ang/route.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [24/Aug/2021:16:55:28 +0530] "GET /ORSProject4/ctl/ang/controller/userRegistration.js HTTP/1.1" 404 1140
