127.0.0.1 - - [16/Sep/2021:17:21:52 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [16/Sep/2021:17:21:53 +0530] "GET /ORSProject4/ HTTP/1.1" 200 527
0:0:0:0:0:0:0:1 - - [16/Sep/2021:17:21:55 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 1882
0:0:0:0:0:0:0:1 - - [16/Sep/2021:17:21:55 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [16/Sep/2021:17:22:00 +0530] "GET /ORSProject4/LoginCtl HTTP/1.1" 200 3513
0:0:0:0:0:0:0:1 - - [16/Sep/2021:17:22:00 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [16/Sep/2021:17:22:14 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Sep/2021:17:22:14 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 3403
0:0:0:0:0:0:0:1 - - [16/Sep/2021:17:22:14 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [16/Sep/2021:17:22:24 +0530] "GET /ORSProject4/LoginCtl?operation=Logout HTTP/1.1" 200 3531
0:0:0:0:0:0:0:1 - - [16/Sep/2021:17:22:24 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [16/Sep/2021:17:22:26 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 1882
0:0:0:0:0:0:0:1 - - [16/Sep/2021:17:22:26 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [16/Sep/2021:17:22:33 +0530] "GET /ORSProject4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Sep/2021:17:22:33 +0530] "GET /ORSProject4/ HTTP/1.1" 200 527
0:0:0:0:0:0:0:1 - - [16/Sep/2021:17:22:38 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 1882
0:0:0:0:0:0:0:1 - - [16/Sep/2021:17:22:38 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
