127.0.0.1 - - [04/Sep/2021:00:16:36 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [04/Sep/2021:00:16:38 +0530] "GET /ORSProject4/ HTTP/1.1" 200 527
0:0:0:0:0:0:0:1 - - [04/Sep/2021:00:16:55 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 2276
0:0:0:0:0:0:0:1 - - [04/Sep/2021:00:16:55 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Sep/2021:00:16:55 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Sep/2021:00:16:57 +0530] "GET /ORSProject4/LoginCtl HTTP/1.1" 200 3907
0:0:0:0:0:0:0:1 - - [04/Sep/2021:00:16:57 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Sep/2021:00:17:08 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Sep/2021:00:17:08 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 3797
0:0:0:0:0:0:0:1 - - [04/Sep/2021:00:17:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Sep/2021:00:17:12 +0530] "GET /ORSProject4/ctl/TimetableCtl HTTP/1.1" 200 8398
0:0:0:0:0:0:0:1 - - [04/Sep/2021:00:17:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Sep/2021:00:17:12 +0530] "GET /ORSProject4/ctl/ang/app.js HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [04/Sep/2021:00:17:12 +0530] "GET /ORSProject4/ctl/ang/route.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [04/Sep/2021:00:17:12 +0530] "GET /ORSProject4/ctl/ang/service/user.js HTTP/1.1" 404 1125
0:0:0:0:0:0:0:1 - - [04/Sep/2021:00:17:12 +0530] "GET /ORSProject4/ctl/ang/service/permission.js HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [04/Sep/2021:00:17:12 +0530] "GET /ORSProject4/ctl/ang/controller/userRegistration.js HTTP/1.1" 404 1140
0:0:0:0:0:0:0:1 - - [04/Sep/2021:00:17:12 +0530] "GET /ORSProject4/ctl/ang/controller/userMaster.js HTTP/1.1" 404 1134
0:0:0:0:0:0:0:1 - - [04/Sep/2021:00:17:12 +0530] "GET /ORSProject4/ctl/ang/controller/welcome.js HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [04/Sep/2021:00:17:12 +0530] "GET /ORSProject4/ctl/ang/controller/changeMyPassword.js HTTP/1.1" 404 1140
0:0:0:0:0:0:0:1 - - [04/Sep/2021:00:17:12 +0530] "GET /ORSProject4/ctl/ang/controller/forgetMyPassword.js HTTP/1.1" 404 1140
0:0:0:0:0:0:0:1 - - [04/Sep/2021:00:17:12 +0530] "GET /ORSProject4/ctl/ang/controller/role.js HTTP/1.1" 404 1128
