127.0.0.1 - - [24/Sep/2021:00:23:20 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [24/Sep/2021:00:23:22 +0530] "GET /ORSProject4/ HTTP/1.1" 200 527
0:0:0:0:0:0:0:1 - - [24/Sep/2021:00:23:22 +0530] "GET /ORSProject4/img/customLogo.jpg HTTP/1.1" 200 33775
0:0:0:0:0:0:0:1 - - [24/Sep/2021:00:23:23 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 1885
0:0:0:0:0:0:0:1 - - [24/Sep/2021:00:23:23 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [24/Sep/2021:00:23:25 +0530] "GET /ORSProject4/LoginCtl HTTP/1.1" 200 3516
0:0:0:0:0:0:0:1 - - [24/Sep/2021:00:23:25 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [24/Sep/2021:00:23:41 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Sep/2021:00:23:42 +0530] "GET /ORSProject4/UserRegistrationCtl HTTP/1.1" 200 5301
0:0:0:0:0:0:0:1 - - [24/Sep/2021:00:23:42 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [24/Sep/2021:00:37:16 +0530] "GET /ORSProject4/LoginCtl HTTP/1.1" 200 3516
0:0:0:0:0:0:0:1 - - [24/Sep/2021:00:37:16 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [24/Sep/2021:00:43:03 +0530] "GET /ORSProject4/LoginCtl HTTP/1.1" 200 3516
0:0:0:0:0:0:0:1 - - [24/Sep/2021:00:43:03 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [24/Sep/2021:01:05:52 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 200 3561
0:0:0:0:0:0:0:1 - - [24/Sep/2021:01:05:52 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [24/Sep/2021:01:06:02 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Sep/2021:01:06:02 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 3406
0:0:0:0:0:0:0:1 - - [24/Sep/2021:01:06:02 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [24/Sep/2021:01:06:22 +0530] "GET /ORSProject4/ctl/CollegeCtl HTTP/1.1" 200 5495
0:0:0:0:0:0:0:1 - - [24/Sep/2021:01:06:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
