127.0.0.1 - - [30/Sep/2021:15:01:24 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [30/Sep/2021:15:01:26 +0530] "GET /ORSProject4/ HTTP/1.1" 200 527
0:0:0:0:0:0:0:1 - - [30/Sep/2021:15:01:26 +0530] "GET /ORSProject4/img/customLogo.jpg HTTP/1.1" 200 33775
0:0:0:0:0:0:0:1 - - [30/Sep/2021:15:01:35 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 1885
0:0:0:0:0:0:0:1 - - [30/Sep/2021:15:01:35 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [30/Sep/2021:15:01:57 +0530] "GET /ORSProject4/LoginCtl HTTP/1.1" 200 3506
0:0:0:0:0:0:0:1 - - [30/Sep/2021:15:01:57 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [30/Sep/2021:15:04:13 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 200 3546
0:0:0:0:0:0:0:1 - - [30/Sep/2021:15:04:13 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [30/Sep/2021:15:08:26 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 200 3558
0:0:0:0:0:0:0:1 - - [30/Sep/2021:15:08:26 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [30/Sep/2021:15:15:17 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 200 3561
0:0:0:0:0:0:0:1 - - [30/Sep/2021:15:15:17 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [30/Sep/2021:15:15:22 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 200 3561
0:0:0:0:0:0:0:1 - - [30/Sep/2021:15:15:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [30/Sep/2021:15:15:31 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 200 3561
0:0:0:0:0:0:0:1 - - [30/Sep/2021:15:15:31 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [30/Sep/2021:15:16:12 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2021:15:16:12 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 3406
0:0:0:0:0:0:0:1 - - [30/Sep/2021:15:16:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [30/Sep/2021:15:19:08 +0530] "GET /ORSProject4/LoginCtl?operation=Logout HTTP/1.1" 200 3524
0:0:0:0:0:0:0:1 - - [30/Sep/2021:15:19:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [30/Sep/2021:17:01:08 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 200 3562
0:0:0:0:0:0:0:1 - - [30/Sep/2021:17:01:09 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [30/Sep/2021:17:01:09 +0530] "GET /ORSProject4/img/customLogo.jpg HTTP/1.1" 200 33775
0:0:0:0:0:0:0:1 - - [30/Sep/2021:17:01:29 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2021:17:01:29 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 3406
0:0:0:0:0:0:0:1 - - [30/Sep/2021:17:01:29 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [30/Sep/2021:17:10:46 +0530] "GET /ORSProject4/ctl/StudentCtl HTTP/1.1" 200 6971
0:0:0:0:0:0:0:1 - - [30/Sep/2021:17:10:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [30/Sep/2021:17:10:48 +0530] "GET /ORSProject4/ctl/GetMarksheetCtl HTTP/1.1" 200 4018
0:0:0:0:0:0:0:1 - - [30/Sep/2021:17:10:48 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [30/Sep/2021:17:54:42 +0530] "GET /ORSProject4/ctl/CollegeListCtl HTTP/1.1" 200 3583
0:0:0:0:0:0:0:1 - - [30/Sep/2021:17:54:42 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [30/Sep/2021:17:55:13 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2021:17:55:13 +0530] "GET /ORSProject4/ctl/CollegeListCtl HTTP/1.1" 200 12313
0:0:0:0:0:0:0:1 - - [30/Sep/2021:17:55:13 +0530] "GET /ORSProject4/js/jquery.min.js HTTP/1.1" 200 89810
0:0:0:0:0:0:0:1 - - [30/Sep/2021:17:55:13 +0530] "GET /ORSProject4/js/CheckBox.js HTTP/1.1" 200 314
0:0:0:0:0:0:0:1 - - [30/Sep/2021:17:55:13 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [30/Sep/2021:17:55:28 +0530] "GET /ORSProject4/LoginCtl?operation=Logout HTTP/1.1" 200 3524
0:0:0:0:0:0:0:1 - - [30/Sep/2021:17:55:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
