2021-09-14 15:13:18,339 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-09-14 15:16:31,642 [Worker-23] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2021-09-14 15:16:32,434 [Worker-23] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: in.co.rays:ORSProject4:0.0.1-SNAPSHOT @ F:\Project4\ORSProject4\pom.xml.
2021-09-14 15:16:33,202 [Worker-23] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ORSProject4/src/main/java
2021-09-14 15:16:33,203 [Worker-23] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /ORSProject4/src/main/resources
2021-09-14 15:16:33,204 [Worker-23] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ORSProject4/src/test/java
2021-09-14 15:16:34,719 [Worker-23] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for ORSProject4
2021-09-14 15:16:34,727 [Worker-23] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 3 sec
2021-09-14 15:16:36,506 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-09-14 15:16:36,508 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2021-09-14 15:16:36,534 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-09-14 15:16:36,535 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\Project4\ORSProject4\src\test\resources
2021-09-14 15:16:36,536 [Worker-27] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of ORSProject4
2021-09-14 15:16:36,536 [Worker-27] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for ORSProject4
2021-09-14 15:16:36,559 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-09-14 15:24:18,862 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-09-14 15:24:18,881 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-09-14 15:24:18,885 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-09-14 15:24:18,890 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\Project4\ORSProject4\src\test\resources
2021-09-14 15:25:21,009 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-09-14 15:25:21,012 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-09-14 15:25:21,016 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-09-14 15:25:21,017 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\Project4\ORSProject4\src\test\resources
2021-09-14 15:26:05,146 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-09-14 15:26:05,147 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-09-14 15:26:05,150 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-09-14 15:26:05,151 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\Project4\ORSProject4\src\test\resources
2021-09-14 15:29:04,625 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-09-14 15:29:04,627 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-09-14 15:29:04,632 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-09-14 15:29:04,633 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\Project4\ORSProject4\src\test\resources
2021-09-14 15:31:25,586 [Worker-40] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-09-14 15:31:25,591 [Worker-40] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-09-14 15:31:25,596 [Worker-40] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-09-14 15:31:25,597 [Worker-40] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\Project4\ORSProject4\src\test\resources
2021-09-14 15:37:37,729 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-09-14 15:37:37,732 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-09-14 15:37:37,737 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-09-14 15:37:37,738 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\Project4\ORSProject4\src\test\resources
2021-09-14 15:39:27,859 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-09-14 15:39:27,862 [Worker-43] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-09-14 15:39:27,868 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-09-14 15:39:27,870 [Worker-43] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\Project4\ORSProject4\src\test\resources
2021-09-14 15:40:18,374 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-09-14 15:40:18,375 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-09-14 15:40:18,379 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-09-14 15:40:18,380 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\Project4\ORSProject4\src\test\resources
2021-09-14 15:41:08,204 [Worker-45] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-09-14 15:41:08,207 [Worker-45] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
